2019-01-29,41.99,77.22,2.4,KYRGYZSTAN
2019-01-29,37.92,29.38,2.5,WESTERN TURKEY
2019-01-29,34.94,141.14,5.0,"OFF EAST COAST OF HONSHU, JAPAN"
2019-01-29,37.27,20.85,2.5,IONIAN SEA
2019-01-29,-5.41,130.76,4.5,BANDA SEA
2019-01-29,36.99,28.24,3.0,DODECANESE IS.-TURKEY BORDER REG
2019-01-29,37.88,15.46,2.1,"SICILY, ITALY"
2019-01-29,37.18,20.57,2.2,IONIAN SEA
2019-01-29,37.54,20.67,2.8,IONIAN SEA
2019-01-29,39.45,26.23,2.2,NEAR THE COAST OF WESTERN TURKEY
2019-01-29,-3.05,140.07,3.8,"PAPUA, INDONESIA"
2019-01-29,41.48,79.23,3.8,"SOUTHERN XINJIANG, CHINA"
2019-01-29,38.76,38.16,2.4,EASTERN TURKEY
2019-01-29,39.44,26.02,2.3,NEAR THE COAST OF WESTERN TURKEY
2019-01-29,37.35,20.96,2.3,IONIAN SEA
2019-01-29,38.68,43.16,2.1,EASTERN TURKEY
2019-01-29,42.83,13.21,2.3,CENTRAL ITALY
2019-01-29,3.04,-75.91,3.5,COLOMBIA
2019-01-29,37.62,20.8,2.5,IONIAN SEA
2019-01-29,-9.04,123.89,4.6,"TIMOR REGION, INDONESIA"
2019-01-29,15.43,-94.94,4.2,"OFFSHORE OAXACA, MEXICO"
2019-01-29,37.73,29.22,2.0,WESTERN TURKEY
2019-01-29,-8.66,111.28,3.7,"JAVA, INDONESIA"
2019-01-28,-15.61,-73.18,4.5,SOUTHERN PERU
2019-01-28,-33.54,-71.08,3.1,"REGION METROPOLITANA, CHILE"
2019-01-28,3.05,-75.96,3.9,COLOMBIA
2019-01-28,3.05,-75.94,4.1,COLOMBIA
2019-01-28,38.69,26.48,2.2,NEAR THE COAST OF WESTERN TURKEY
2019-01-28,3.05,-75.93,4.0,COLOMBIA
2019-01-28,-0.69,97.25,4.7,"KEPULAUAN BATU, INDONESIA"
2019-01-28,41.0,-116.38,2.1,NEVADA
2019-01-28,3.85,126.08,4.1,"KEPULAUAN TALAUD, INDONESIA"
2019-01-28,1.94,126.29,3.7,MOLUCCA SEA
2019-01-28,35.13,34.24,3.0,CYPRUS REGION
2019-01-28,3.04,-75.93,4.0,COLOMBIA
2019-01-28,36.33,36.07,2.0,TURKEY-SYRIA BORDER REGION
2019-01-28,19.34,-65.04,2.6,VIRGIN ISLANDS REGION
2019-01-28,15.54,-94.94,4.1,"OFFSHORE OAXACA, MEXICO"
2019-01-28,46.01,-112.46,2.1,WESTERN MONTANA
2019-01-28,-31.82,-69.81,3.6,"SAN JUAN, ARGENTINA"
2019-01-28,-7.95,117.76,3.8,BALI SEA
2019-01-28,-6.71,108.32,3.7,"JAVA, INDONESIA"
2019-01-28,-37.55,-71.18,3.7,"BIO-BIO, CHILE"
2019-01-28,39.4,27.88,2.3,WESTERN TURKEY
2019-01-28,-32.38,138.12,2.9,NEAR COAST OF SOUTH AUSTRALIA
2019-01-28,3.46,126.22,4.6,"KEPULAUAN TALAUD, INDONESIA"
2019-01-28,37.67,15.15,2.2,"SICILY, ITALY"
2019-01-28,36.26,21.58,3.5,SOUTHERN GREECE
2019-01-28,3.69,126.66,4.0,"KEPULAUAN TALAUD, INDONESIA"
2019-01-28,17.94,-102.55,4.3,"OFFSHORE MICHOACAN, MEXICO"
2019-01-28,39.44,26.19,3.4,NEAR THE COAST OF WESTERN TURKEY
2019-01-28,19.22,-67.72,3.2,PUERTO RICO REGION
2019-01-28,39.45,-29.78,3.4,"AZORES ISLANDS, PORTUGAL"
2019-01-28,-17.95,-179.26,5.5,FIJI REGION
2019-01-28,38.16,36.16,3.6,CENTRAL TURKEY
2019-01-28,-37.48,-74.44,3.3,"OFFSHORE BIO-BIO, CHILE"
2019-01-28,16.31,-97.75,3.4,"OAXACA, MEXICO"
2019-01-28,61.47,-149.95,2.5,SOUTHERN ALASKA
2019-01-28,16.6,-99.28,3.6,"OFFSHORE GUERRERO, MEXICO"
2019-01-28,43.11,13.19,2.0,CENTRAL ITALY
2019-01-28,-21.52,-68.98,3.0,"ANTOFAGASTA, CHILE"
2019-01-28,16.46,-98.2,3.3,"OAXACA, MEXICO"
2019-01-28,16.22,-97.98,3.7,"OAXACA, MEXICO"
2019-01-28,18.22,-100.57,3.7,"GUERRERO, MEXICO"
2019-01-28,-33.66,-72.05,3.3,"OFFSHORE VALPARAISO, CHILE"
2019-01-28,36.51,-89.56,2.1,SOUTHEASTERN MISSOURI
2019-01-28,19.38,-154.92,2.1,"HAWAII REGION, HAWAII"
2019-01-28,16.24,-98.02,3.2,"OAXACA, MEXICO"
2019-01-28,16.23,-95.15,3.6,"OAXACA, MEXICO"
2019-01-28,-8.19,107.2,4.1,"JAVA, INDONESIA"
2019-01-28,16.33,-98.51,3.4,"OAXACA, MEXICO"
2019-01-28,15.95,-96.64,3.8,"OAXACA, MEXICO"
2019-01-28,-31.37,-68.82,3.6,"SAN JUAN, ARGENTINA"
2019-01-28,-45.57,-76.72,3.5,"OFF COAST OF AISEN, CHILE"
2019-01-28,-3.69,139.43,5.0,"PAPUA, INDONESIA"
2019-01-28,-14.68,-71.58,4.0,CENTRAL PERU
2019-01-28,18.09,-100.26,3.5,"GUERRERO, MEXICO"
2019-01-28,15.77,-95.73,3.8,"OFFSHORE OAXACA, MEXICO"
2019-01-28,40.39,-124.8,2.9,OFFSHORE NORTHERN CALIFORNIA
2019-01-28,9.85,-86.41,3.7,OFF COAST OF COSTA RICA
2019-01-28,-9.92,119.01,4.1,"SUMBA REGION, INDONESIA"
2019-01-28,9.97,-85.68,3.5,OFF COAST OF COSTA RICA
2019-01-28,43.22,45.09,3.4,"CAUCASUS REGION, RUSSIA"
2019-01-28,-24.14,-67.58,4.2,"SALTA, ARGENTINA"
2019-01-28,14.3,-93.87,4.0,"OFF COAST OF CHIAPAS, MEXICO"
2019-01-28,43.26,5.96,2.7,NEAR SOUTH COAST OF FRANCE
2019-01-28,43.26,5.96,2.7,NEAR SOUTH COAST OF FRANCE
2019-01-28,15.37,-94.8,3.7,"OFFSHORE OAXACA, MEXICO"
2019-01-28,-0.25,124.68,3.7,MOLUCCA SEA
2019-01-28,40.5,52.06,3.0,"CASPIAN SEA, OFFSHR TURKMENISTAN"
2019-01-28,16.2,-98.81,4.2,"OFFSHORE GUERRERO, MEXICO"
2019-01-28,39.23,42.42,2.1,EASTERN TURKEY
2019-01-28,-3.02,128.92,4.8,"SERAM, INDONESIA"
2019-01-28,19.76,-65.24,3.4,PUERTO RICO REGION
2019-01-28,37.58,20.61,3.1,IONIAN SEA
2019-01-28,39.48,26.25,2.1,NEAR THE COAST OF WESTERN TURKEY
2019-01-28,36.63,29.18,2.8,WESTERN TURKEY
2019-01-28,48.34,-121.9,2.0,WASHINGTON
2019-01-28,14.47,-93.68,4.1,"OFF COAST OF CHIAPAS, MEXICO"
2019-01-28,14.41,-93.76,4.2,"OFF COAST OF CHIAPAS, MEXICO"
2019-01-28,-33.85,118.07,2.2,WESTERN AUSTRALIA
2019-01-28,10.72,-84.84,3.7,COSTA RICA
2019-01-28,36.47,-121.05,2.1,CENTRAL CALIFORNIA
2019-01-28,-2.45,140.56,3.9,"NEAR N COAST OF PAPUA, INDONESIA"
2019-01-28,9.82,126.41,4.9,"MINDANAO, PHILIPPINES"
2019-01-28,-14.74,-175.48,4.8,SAMOA ISLANDS REGION
2019-01-28,46.23,-75.76,3.3,"SOUTHERN QUEBEC, CANADA"
2019-01-28,0.28,121.6,4.2,"MINAHASA, SULAWESI, INDONESIA"
2019-01-28,14.84,-92.38,4.2,"CHIAPAS, MEXICO"
2019-01-28,2.35,128.48,4.6,"HALMAHERA, INDONESIA"
2019-01-28,18.31,96.08,4.5,MYANMAR
2019-01-28,-29.68,-71.3,4.4,"COQUIMBO, CHILE"
2019-01-28,37.36,20.24,2.6,IONIAN SEA
2019-01-28,43.54,19.29,3.1,SERBIA
2019-01-28,-13.37,166.52,4.9,VANUATU
2019-01-28,19.43,-155.62,2.3,"ISLAND OF HAWAII, HAWAII"
2019-01-28,1.62,94.77,4.9,OFF W COAST OF NORTHERN SUMATRA
2019-01-28,37.67,20.72,2.3,IONIAN SEA
2019-01-28,-10.46,108.48,3.9,"SOUTH OF JAVA, INDONESIA"
2019-01-28,16.46,-98.97,4.1,"OFFSHORE GUERRERO, MEXICO"
